Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,xG,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,
1,Bayern Munich,20,16,1,3,65,19,46,49,55.6,18.2,37.5,1.87,W W L W W,"24,200",Robert Lewandowski - 23,Manuel Neuer,
2,Dortmund,20,14,1,5,52,31,21,43,37.5,26.4,11.1,0.55,W L W W W,"33,517",Erling Haaland - 16,Gregor Kobel,
3,Leverkusen,20,10,5,5,49,32,17,35,36.8,29.6,7.2,0.36,D L D W W,"14,602",Patrik Schick - 18,Lukáš Hrádecký,
4,Union Berlin,20,9,7,4,29,25,4,34,29.6,26.3,3.3,0.17,D W D W W,"11,424",Taiwo Awoniyi - 9,Andreas Luthe,
5,Freiburg,20,9,6,5,33,23,10,33,29.3,25.3,4,0.2,D W D L W,"12,050","Lucas Höler, Jeong Woo-yeong... - 4",Mark Flekken,
6,RB Leipzig,20,9,4,7,38,23,15,31,42.2,28.9,13.3,0.67,D L W W W,"15,944",Christopher Nkunku - 9,Péter Gulácsi,
7,Hoffenheim,20,9,4,7,41,32,9,31,33.8,27.4,6.4,0.32,D D W L L,"6,238",Ihlas Bebou - 7,Oliver Baumann,
8,Köln,20,7,8,5,32,34,-2,29,30.8,30.9,-0.2,-0.01,W W W L D,"28,610",Anthony Modeste - 13,Timo Horn,
9,Eint Frankfurt,20,7,7,6,30,30,0,28,29.7,33.3,-3.7,-0.18,W W L D L,"18,625",Rafael Borré - 6,Kevin Trapp,
10,Mainz 05,20,8,3,9,28,23,5,27,27.6,25.3,2.3,0.12,W L L W L,"14,240",Jonathan Burkardt - 7,Robin Zentner,
11,Bochum,20,7,3,10,19,29,-10,24,22.6,32.6,-10,-0.5,L L W L D,"14,301",Sebastian Polter - 6,Manuel Riemann,
12,M'Gladbach,20,6,4,10,26,37,-11,22,33.2,33.3,-0.2,-0.01,L D W L L,"21,657",Jonas Hofmann - 7,Yann Sommer,
13,Hertha BSC,20,6,4,10,22,42,-20,22,19.7,33.3,-13.6,-0.68,L W L D L,"14,744","Stevan Jovetić, Marco Richter - 5",Alexander Schwolow,
14,Arminia,20,4,9,7,20,26,-6,21,19.1,34.2,-15.2,-0.76,W W D D W,"14,451",Masaya Okugawa - 7,Stefan Ortega,
15,Wolfsburg,20,6,3,11,17,32,-15,21,28.2,28.7,-0.5,-0.02,L L L D L,"9,283","Wout Weghorst, Lukas Nmecha - 6",Koen Casteels,
16,Augsburg,20,4,7,9,20,35,-15,19,20.7,35.4,-14.7,-0.73,D D L D L,"10,356",Michael Gregoritsch - 4,Rafał Gikiewicz,
17,Stuttgart,20,4,6,10,22,35,-13,18,21.5,31.4,-9.9,-0.49,L L D L L,"18,356",Konstantinos Mavropanos - 4,Florian Müller,
18,Greuther Fürth,20,2,4,14,17,52,-35,10,19.4,36.7,-17.3,-0.86,L D D D W,"5,649","Branimir Hrgota, Jamie Leweling - 4",Sascha Burchert,